time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-12-10T23:44:39.950Z,40.6824989318848,-124.338165283203,26.4699993133545,2.1,md,21,191,0.2493,0.14,nc,nc75101366,2024-12-10T23:57:17.208Z,"13 km NNW of Ferndale, CA",earthquake,1.11,2.68000007,0.18,12,automatic,nc,nc
2024-12-10T21:50:44.750Z,40.4119987487793,-125.41283416748,4.76999998092651,3.24,ml,42,287,0.8231,0.58,nc,nc75101286,2024-12-10T23:47:18.149Z,"96 km WNW of Petrolia, CA",earthquake,12.53,35.1899986,0.248,5,automatic,nc,nc
2024-12-10T19:14:19.830Z,40.3498344421387,-125.075164794922,0.0900000035762787,2.79,md,26,288,0.5635,0.31,nc,nc75101206,2024-12-10T21:22:14.142Z,"67 km WNW of Petrolia, CA",earthquake,5.72,8.07999992,0.18,18,automatic,nc,nc
2024-12-10T18:43:47.860Z,40.2598342895508,-124.747665405273,5.5,2.37,md,5,324,0.3112,0.12,nc,nc75101181,2024-12-10T20:47:16.888Z,"40 km W of Petrolia, CA",earthquake,8.77,7.30000019,0.07,6,automatic,nc,nc
2024-12-10T17:28:04.150Z,40.7831649780273,-124.556503295898,20.0900001525879,2.85,md,28,226,,0.13,nc,nc75101136,2024-12-10T18:41:17.040Z,"31 km WNW of Bayview, CA",earthquake,0.92,1.95000005,0.08,18,automatic,nc,nc
2024-12-10T17:20:30.410Z,40.339168548584,-124.736000061035,24.0100002288818,2.67,md,21,238,,0.16,nc,nc75101131,2024-12-10T17:42:16.606Z,"38 km WNW of Petrolia, CA",earthquake,1.57,5.65999985,0.05,13,automatic,nc,nc
2024-12-10T15:21:32.770Z,40.3533325195312,-124.972831726074,14.1199998855591,2.74,md,46,260,,0.21,nc,nc75101071,2024-12-10T15:22:58.728Z,"58 km WNW of Petrolia, CA",earthquake,2.33,2.28999996,0.07,18,automatic,nc,nc
2024-12-10T14:14:51.750Z,40.4150009155273,-125.158332824707,0.889999985694885,2.9,md,50,282,,0.5,nc,nc75101036,2024-12-10T14:16:19.804Z,"75 km WNW of Petrolia, CA",earthquake,4.24,11.9899998,0.1,19,automatic,nc,nc
2024-12-10T13:26:32.760Z,40.3296661376953,-124.903663635254,13.9200000762939,3.2,ml,45,260,,0.37,nc,nc75101021,2024-12-10T17:09:23.040Z,"52 km WNW of Petrolia, CA",earthquake,4.3,3.32999992,0.236,5,automatic,nc,nc
2024-12-10T13:01:06.760Z,40.3405,-124.789333333333,2.32,4.17,mw,144,226,0.3455,0.25,nc,nc75101006,2024-12-10T22:59:06.643Z,"43 km WNW of Petrolia, CA",earthquake,0.44,0.98,,14,reviewed,nc,nc
2024-12-10T11:21:42.460Z,40.298999786377,-124.519500732422,5.84000015258789,2.65,md,22,267,,0.09,nc,nc75100976,2024-12-10T11:23:19.276Z,"20 km W of Petrolia, CA",earthquake,1.71,0.99000001,0.11,22,automatic,nc,nc
2024-12-10T10:57:31.640Z,40.2845001220703,-124.549835205078,19.7800006866455,2.08,md,12,302,,0.05,nc,nc75100971,2024-12-10T10:59:08.094Z,"23 km W of Petrolia, CA",earthquake,2.35,0.360000014,0.14,7,automatic,nc,nc
2024-12-10T10:27:42.180Z,40.2953338623047,-124.572166442871,-0.109999999403954,3.49,ml,41,262,,0.28,nc,nc75100956,2024-12-10T11:30:37.656Z,"25 km W of Petrolia, CA",earthquake,2.67,4.01999998,0.469,5,reviewed,nc,nc
